,RESDATE,RESCOL,BIDCITY,MONTH,PSTALP,BSTATUS,FAILMON,PO_COST,COST21,BSTATDT,COST20,TERMDATE,BIDNAME,RESTYPE_II,FAILDATE,RESTYPE1,CHCLASS1,FSL_PROG,BRCERT,CERT,BRDOCKET,COST07,COST08,COST09,L_REPDTE,FRAUD,COST03,COST04,COST05,COST06,RSSDID,COMMENTS,BIDCERT,COSTMOSTRECENTASOF,QBRASSET,URL,RESLOS,MONTHTXT,QBFASSET,QBFEQ,TXHC,QBREQ,COST00,COST01,BIDDOCK,COST02,COST18,COST19,RESCOST,ATFIN,COST14,COST15,COST16,COST17,CITY,R_UPDATE,FAILTXT,COST10,COST98,COST11,COST99,COST12,COST13,COST95,DAY,COST96,COST97,QBFDEP,CLOSCD,FIN2,RESEQ,RESTYPE,CITYST,RESDEP,RESPUT,PTRDATE,COSTMOSTRECENT,FAILDAY,INCTDT,TERMI,FAILYR,DOCKET,RESABAL,RESTYPE_OLD,BANKNO,RESPASS,SAVR,NAME,LOSSSHARE,FAILQTR,tagpal,BRDATE,BIDSTATE,CROSSS,OBA,COST,UNINSDEP,RESASSET,difal,CHCLASS,FUND,RESADJ,FIN,QBRDEP,CROSS,ID,REGION
1303,5/11/1990,29992,TOPEKA,,KS,I,3,48329,50263,4/1/1995,50263,,"BANK IV TOPEKA, NA",,3/2/1989,IDT,SL,,32561,32561.0,8447,56638,56637,56638,12/31/1988,,56834,56829,56810,56810,935979,FSLIC-RTC Duplicate Failures,4782,30-Nov-22,96590,na,22463,,96590.0,-27072,,-27072,56881,56851,,56845,50263,50263,47439,,50263,50263,50263,50263,TOPEKA,1/31/2022,,50263,56986,50263,56944,50263,50263,57571.652,,57209.34458,57209,108400.0,DTNNN,6999,-358.08657,FAILURE,"TOPEKA, KS",112457.5549,28698,,50263,,5/11/1990,,1989,8447,0,,8383,64800.41909,RTC,TOPEKA SAVINGS,0,1,,3/2/1989,KS,,0,50263.0,,88557.74963,,SL,2,0,6999,108400,,2171,Midwest
1304,3/9/1989,5151,BREMOND,,TX,I,3,,5333,5/1/1995,5333,5/1/1993,FIRST STATE BANK,,3/9/1989,PA,NM,,,13247.0,,5333,5333,5333,12/31/1988,,5333,5333,5333,5333,121259,,1176,30-Nov-22,14235,na,5270,,14235.0,-3103,0,-3103,5333,5333,,5333,5333,5333,,,5333,5333,5333,5333,CALVERT,1/31/2022,,5333,5333,5333,5333,5333,5333,5333.0497,,5333.05,5333,16762.0,PASNN,2972,-108.38773,FAILURE,"CALVERT, TX",14329.52584,0,,5333,,3/9/1989,T,1989,,0,,,2282.94449,BIF,CITIZENS BANK AND TRUST,0,1,,,TX,,0,5333.0,,13586.39006,,NM,1,-885,2972,16762,0,2172,South
1305,3/9/1989,3289,SEQUIN,,TX,I,3,,2329,4/1/1994,2329,1/1/1993,"FIRST COMMERCIAL BANK, N.A.",,3/9/1989,PA,N,,,23590.0,,2329,2329,2329,12/31/1988,,2329,2329,2329,2329,66958,,24603,30-Nov-22,16693,na,2353,,16693.0,-250,0,-250,2329,2329,,2329,2329,2329,,,2329,2329,2329,2329,AUSTIN,1/31/2022,,2329,2329,2329,2329,2329,2329,2329.4617,,2329.462,2329,16830.0,PANNN,2971,210.27344,FAILURE,"AUSTIN, TX",17450.81098,-96,,2329,,3/9/1989,T,1989,,0,,,13976.93123,BIF,LAKEWAY NATIONAL BANK,0,1,,,TX,,0,2329.0,,17231.1949,,N,1,-581,2971,16830,0,2173,South
1306,3/9/1989,3182,AUSTIN,,TX,I,3,,15795,4/1/1994,15795,10/1/1992,THE BANK OF THE WEST,,3/9/1989,PA,NM,,,25662.0,,15795,15795,15795,12/31/1988,,15795,15795,15795,15795,269151,,27464,30-Nov-22,46672,na,1948,,46672.0,-146,0,-146,15795,15795,,15795,15795,15795,,,15795,15795,15795,15795,AUSTIN,1/31/2022,,15795,15795,15795,15795,15795,15795,15795.3724,,15795.372,15795,46519.0,TASNN,2970,-7329.04936,FAILURE,"AUSTIN, TX",44772.88505,0,,15795,,3/9/1989,T,1989,,0,,,41427.78649,BIF,BANK OF THE WEST,0,1,,,TX,,0,15795.0,,45639.58003,,NM,1,-640,2970,46519,0,2174,South
1307,3/16/1990,47523,DALLAS,,TX,I,3,22734,20189,9/1/1994,20189,,NCNB TEXAS NATIONAL BANK,,3/9/1989,PA,SL,,27627,27627.0,17,25397,25397,25398,12/31/1988,,25585,25581,25562,25562,895578,,27306,30-Nov-22,106442,na,5245,,106442.0,-13765,,-13765,25630,25602,,25596,20189,20189,22698,,20189,20189,20189,20189,GALVESTON,1/31/2022,,20189,25732,20189,25691,20189,20189,25757.4229,,25945.37193,25945,115052.0,PANNN,6960,2.5,FAILURE,"GALVESTON, TX",103929.39932,46231,,20189,,3/16/1990,,1989,17,0,,8478,80401.38063,RTC,BANKERS S & L ASSOC.,0,1,,3/9/1989,TX,,0,20189.0,,86939.25466,,SL,2,0,6960,115052,,2175,South
1308,5/25/1990,53858,ATLANTA,,GA,I,3,35302,18185,7/1/1995,18185,,MERCHANT BANK OF ATLANTA,,3/9/1989,IDT,SL,,27702,27702.0,141,42429,42428,42430,12/31/1988,,42766,42758,42724,42724,215578,,27085,30-Nov-22,300987,na,7614,,300987.0,-7652,,-7652,42846,42796,,42786,18185,18185,35302,,18185,18185,18185,18185,ATLANTA,1/31/2022,,18185,43028,18185,42956,18185,18185,43090.1957,,43411.10251,43411,249784.0,DTNNN,7023,1050360.2583,FAILURE,"ATLANTA, GA",184701.01593,32937,,18185,,5/25/1990,,1989,141,0,,8357,126233.61534,RTC,FIRST FED. S & L ASSOC.,0,1,,3/9/1989,GA,,0,18185.0,,154767.88563,,SL,2,0,7023,249784,,2176,South
1309,2/2/1990,3160,ST. JOSEPH,,MI,I,3,18357,5,4/1/1995,5,,PEOPLES SB,,3/9/1989,PA,SL,,27812,27812.0,322,4850,4850,4851,12/31/1988,,5006,5003,4987,4987,667476,,8164,30-Nov-22,107314,na,554,,107314.0,-5068,,-5068,5044,5020,,5016,5,5,5579,,5,5,5,5,ST. JOSEPH,1/31/2022,,4851,5128,4851,5095,4851,4851,14593.8903,,5305.41896,5305,109426.0,PANNN,6951,2194.70276,FAILURE,"ST. JOSEPH, MI",83696.09463,57,,5,,2/2/1990,,1989,322,0,,8414,68915.08848,RTC,PEOPLES SAVINGS ASSOC.,0,1,,3/9/1989,MI,,0,5.0,,72572.42183,,SL,2,0,6951,109426,,2177,Midwest
1310,12/15/1989,124484,MONROEVILLE,,PA,I,3,46728,19366,7/1/1995,19366,,PARKVALE SA,,3/9/1989,PA,SL,,32805,27885.0,8663,40137,40135,40138,12/31/1988,,40534,40525,40485,40485,679077,,30237,30-Nov-22,220282,na,26350,,220282.0,-28644,,-28644,40629,40569,,40557,19366,19366,46427,,19366,19366,19366,19366,MONROEVILLE,1/31/2022,,19366,40843,19366,40758,19366,19366,40723.2876,,41294.07514,41294,238378.0,PANNN,6944,84.96313,FAILURE,"MONROEVILLE, PA",210745.69767,116516,9/21/1989,19366,,12/15/1989,,1989,472,0,,8449,157233.04701,RTC,CONCORD-LIBERTY FED. S & L ASSOC.,0,1,,3/9/1989,PA,,0,19366.0,,191550.9669,,SL,2,0,6944,238378,,2178,Northeast
1311,5/25/1990,287816,NONE,,CO,I,3,257080,306099,7/1/1997,306099,12/1/1996,BRANCH SALE,IDT,3/9/1989,PO,SL,,28131,28131.0,948,389483,389481,389485,12/31/1988,,390169,390154,390084,390084,934374,,,30-Nov-22,558585,na,228730,,558585.0,-80762,,-80762,390333,390230,,390209,306099,306099,256880,,306099,306099,306099,306099,COLORADO SPRINGS,1/31/2022,,306099,390703,306099,390556,306099,306099,318251.0445,,391981.7654,391982,481675.0,DTNNN,7030,-2704.335,FAILURE,"COLORADO SPRINGS, CO",443344.94765,943,,306099,,5/25/1990,T,1989,948,0,,8529,982.78333,RTC,OTERO S & L ASSOC.,0,1,,3/9/1989,NA,,0,306099.0,,516585.52203,,SL,2,0,7030,481675,,2179,West
1312,,,,6,WI,,,,,,0,,,,6/3/1938,PO,NM,,,,,0,0,0,,,0,0,0,0,,,,,,na,,Jun,205.0,,,,0,0,,0,,,,,,,,,LEOPOLIS,,6/3/1938,0,0,0,0,0,0,0,3,0,0,143.0,,,,FAILURE,"LEOPOLIS, WI",,,,,6/3/2022,,,1938,,,PO,,,BIF,LEOPOLIS STATE BANK,,,,,,,,,,,,NM,1,,0,,,218,Midwest
1313,2/2/1990,61031,GRAND JUNCTION,,CO,I,3,11889,6322,8/1/1995,6322,,MESA NB,,3/9/1989,IDT,SL,,28354,28354.0,1421,14739,14739,14740,12/31/1988,,14963,14958,14935,14935,74775,,32770,30-Nov-22,117449,na,14487,,117449.0,-1819,,-1819,15016,14983,,14976,6322,6322,11833,,6322,6322,6322,6322,GRAND JUNCTION,1/31/2022,,6322,15137,6322,15089,6322,6322,15110.2405,,15391.39342,15391,108848.0,DTSNN,6953,9.23294,FAILURE,"GRAND JUNCTION, CO",104316.2236,9510,,6322,,2/2/1990,,1989,1421,0,,8335,60141.3057,RTC,MESA FS & LA OF COLORADO,0,1,,3/9/1989,CO,,0,6322.0,,126149.73597,,SL,2,0,6953,108848,,2180,West
1314,2/2/1990,33321,GRAND JUNCTION,,CO,I,3,79878,86743,9/1/1995,86743,,MESA NB,,3/9/1989,IDT,SL,,32778,28414.0,8642,87501,87501,87502,12/31/1988,,87664,87660,87644,87644,405276,,32770,30-Nov-22,83809,na,26435,,83809.0,-66790,,-66790,87702,87678,,87673,86743,86743,79859,,86743,86743,86743,86743,GRAND JUNCTION,1/31/2022,,86743,87790,86743,87755,86743,86743,89119.0504,,87974.21838,87974,116689.0,DTSNN,6954,42.56648,FAILURE,"GRAND JUNCTION, CO",108633.7332,1375,8/24/1989,86743,,2/2/1990,,1989,1541,0,,8336,19355.62296,RTC,VALLEY FEDERAL S & L ASSOC.,0,1,,3/9/1989,CO,,0,86743.0,,77736.8512,,SL,2,0,6954,116689,,2181,West
1315,1/26/1990,6660,DURANGO,,CO,I,3,7465,2200,11/1/1994,2200,,CENTENNIAL SB,,3/9/1989,PA,SL,,28775,28775.0,2337,11136,11136,11136,12/31/1988,,11258,11255,11243,11243,215877,,28212,30-Nov-22,70408,na,6520,,70408.0,-2391,,-2391,11287,11269,,11265,2200,2200,6965,,2200,2200,2200,2200,GRAND JUNCTION,1/31/2022,,2200,11353,2200,11327,2200,2200,11361.9661,,11491.76422,11492,71495.0,PASNN,6949,-3956.76165,FAILURE,"GRAND JUNCTION, CO",9.51136,4268,,2200,,1/26/1990,,1989,2337,0,,8337,47258.56527,RTC,MODERN FED. S & L ASSOC.,0,1,,3/9/1989,CO,,0,2200.0,,56170.28089,,SL,2,0,6949,71495,,2182,West
1316,6/29/1990,133855,COLORADO SPRINGS,,CO,I,3,138296,194784,10/1/1995,194784,,WESTERN NB OF CO,,3/9/1989,PA,SL,,28819,28819.0,2424,202804,202803,202806,12/31/1988,,203348,203335,203280,203280,222370,,33099,30-Nov-22,354939,na,126344,,354939.0,-12366,,-12366,203477,203396,,203379,194784,194784,138049,,194784,194784,194784,194784,COLORADO SPRINGS,1/31/2022,,194784,203770,194784,203654,194784,194784,205110.4834,,204387.0994,204387,313501.0,PANNN,7117,92899,FAILURE,"COLORADO SPRINGS, CO",300601.70906,62512,,194784,,6/29/1990,,1989,2424,0,,8532,78591.1628,RTC,FIRST FED. S & LA OF COLORADO SPR.,0,1,,3/9/1989,CO,,0,194784.0,,276278.06288,,SL,2,0,7117,313501,,2183,West
1317,6/22/1990,34935,NONE,,CO,I,3,10888,16740,4/1/1995,16740,,PAYOUT,,3/9/1989,PO,SL,,32777,29168.0,8641,17547,17547,17548,12/31/1988,,17637,17635,17626,17626,781671,,,30-Nov-22,57654,na,12370,,57654.0,-4074,,-4074,17659,17645,,17643,16740,16740,10888,,16740,16740,16740,16740,STEAMBOAT SPRINGS,1/31/2022,,16740,17708,16740,17688,16740,16740,18364.6817,,17810.10505,17810,43892.0,PONNN,7096,213230.9,FAILURE,"STEAMBOAT SPRINGS, CO",32653.71486,5,8/24/1989,16740,,6/22/1990,,1989,3029,0,,8338,0,RTC,ALPINE SAVINGS,0,1,,3/9/1989,NA,,0,16740.0,,47299.87091,,SL,2,0,7096,43892,,2184,West
1318,7/19/1991,2381,LA PORTE,,TX,I,3,15577,16111,4/1/1994,16111,,BAYSHORE NB,,3/9/1989,PA,SL,,29204,29204.0,3094,16861,16861,16861,12/31/1988,,16888,16888,16885,16885,837877,,19343,30-Nov-22,43757,na,3528,,43757.0,-2338,,-2338,16895,16891,,16890,16111,16111,15529,,16111,16111,16111,16111,LIBERTY,1/31/2022,,16111,16910,16111,16904,16111,16111,16952.9801,,16941.08314,16941,45939.0,PANNN,7354,-118.22908,FAILURE,"LIBERTY, TX",26832.38431,158,,16111,,7/19/1991,,1989,3094,0,,8499,9390.22709,RTC,LIBERTY COUNTY FS & LA,0,1,,3/9/1989,TX,,0,16111.0,,15140.63016,,SL,2,0,7354,45939,,2185,South
1319,7/20/1990,135798,NONE,,CO,I,3,156760,162106,11/1/1999,162106,9/1/1999,PAYOUT,,3/9/1989,PO,SL,,29553,29553.0,3651,169263,169261,169264,12/31/1988,,169744,169733,169684,169684,511775,,,30-Nov-22,289521,na,97964,,289521.0,-14181,,-14181,169859,169786,,169772,162106,162106,156760,,162106,162106,162106,162106,PARKER,1/31/2022,,162106,171263,162106,170015,162106,162106,174933.7903,,173138.3343,173138,259865.0,PONNN,7123,-27.089,FAILURE,"PARKER, CO",2371863.284,506,,162106,,7/20/1990,T,1989,3651,0,,8528,0,RTC,SUN S & LA,0,1,,3/9/1989,NA,,0,162106.0,,233255.25447,,SL,2,0,7123,259865,,2186,West
1320,6/15/1990,15854,NEWBERN,,TN,I,3,20977,15288,1/1/1995,15288,,SECURITY BANK,,3/9/1989,PA,SB,,29718,29718.0,3946,20983,20983,20983,12/31/1988,,21082,21079,21069,21069,593276,,2391,30-Nov-22,73942,na,1930,,73942.0,-7185,,-7185,21105,21090,,21087,15288,15288,20750,,15288,15288,15288,15288,TRENTON,1/31/2022,,15288,21158,15288,21137,15288,15288,21612.409,,21273.09839,21273,75103.0,PANNN,7063,-16670.65615,FAILURE,"TRENTON, TN",57773.34834,12057,,15288,,6/15/1990,,1989,3946,0,,8543,40421.80069,RTC,CENTURY FEDERAL SAVINGS BANK,0,1,,3/9/1989,TN,,0,15288.0,,46147.99194,,SB,2,0,7063,75103,,2187,South
1321,10/13/1989,1219337,READING,,PA,I,3,682495,730668,1/1/2001,730668,12/1/2000,"MERIDIAN FINANCIAL SA, FA",,3/9/1989,PA,SL,,30204,30204.0,4944,889062,889046,889084,12/31/1988,,894795,894664,894086,894086,690072,,11870,30-Nov-22,3004007,na,814733,,3004007.0,35962,,35962,896161,895302,,895127,730668,730668,656878,,730668,730668,730668,730668,RED HILL,1/31/2022,,730668,901320,730668,898269,730668,730668,933840.7827,,925568.6451,925569,2473161.0,PANNN,6939,-7.5062,FAILURE,"RED HILL, PA",2024399.4071,82451,,730668,,10/13/1989,T,1989,4944,0,,8541,818372.51793,RTC,HILL FINANCIAL SA,0,1,,3/9/1989,PA,,0,730668.0,,2758708.039,,SL,2,11283,6939,2473161,,2188,Northeast
1322,12/15/1989,27438,BEAVER FALLS,,PA,I,3,20982,8,6/1/1995,8,,REEVES BANK,,3/9/1989,PA,SL,,30325,30325.0,5166,7713,7713,7714,12/31/1988,,7860,7857,7842,7842,113179,,19868,30-Nov-22,90309,na,8058,,90309.0,-7107,,-7107,7895,7873,,7869,8,8,17417,,8,8,8,8,BEAVER FALLS,1/31/2022,,7714,7975,7714,7943,7714,7714,12155.6386,,8142.40297,8142,86399.0,PANNN,6943,-1810.38928,FAILURE,"BEAVER FALLS, PA",72999.84286,19343,,8,,12/15/1989,,1989,5166,0,,8450,53051.46292,RTC,LIBERTY BELL SAVINGS ASSOC.,0,1,,3/9/1989,PA,,0,8.0,,69204.585,,SL,2,0,6943,86399,,2189,Northeast
1323,,,,6,IA,,,,,,0,,,,6/17/1938,PO,NM,,,,,0,0,0,,,0,0,0,0,,,,,,na,,Jun,217.0,,,,0,0,,0,,,,,,,,,RUSSELL,,6/17/1938,0,0,0,0,0,0,0,17,0,0,185.0,,,,FAILURE,"RUSSELL, IA",,,,,6/17/2022,,,1938,,,PO,,,BIF,RUSSELL STATE BANK & TRUST COMPANY,,,,,,,,,,,,NM,1,,0,,,219,Midwest
1324,6/8/1990,95099,NONE,,NM,I,3,130502,161092,12/1/2000,161092,10/1/2000,PAYOUT,,3/9/1989,PO,SB,,32785,30427.0,8645,168972,168971,168973,12/31/1988,,169248,169241,169214,169214,515577,,,30-Nov-22,180609,na,42830,,180609.0,-98307,,-98307,169313,169272,,169264,161092,161092,130502,,161092,161092,161092,161092,ROSWELL,1/31/2022,,161092,171868,161092,169509,161092,161092,176284.5385,,174167.9013,174168,263820.0,PONNN,7058,-119496.65186,FAILURE,"ROSWELL, NM",238488.19132,138,8/30/1989,161092,,6/8/1990,T,1989,5320,0,,8442,0,RTC,VALLEY FEDERAL SAVINGS,0,1,,3/9/1989,NA,,0,161092.0,,137861.37903,,SB,2,-70,7058,263820,,2190,West
1325,9/6/1991,343291,DALLAS,,TX,I,3,1011600,882240,6/1/2007,882240,4/1/2007,"BANC ONE TX, NA",,3/9/1989,PA,SL,,32670,30761.0,8591,919355,919351,919360,12/31/1988,,921006,920867,920728,882347,372378,,27474,30-Nov-22,2641392,na,357369,,2641392.0,-108455,,-108455,921369,921432,,920849,882240,882240,975652,,882240,882240,882240,882240,HOUSTON,1/31/2022,,882240,922844,882240,922153,882240,882240,924309.2595,,927963.3388,927963,2004722.0,PANNN,7429,0,FAILURE,"HOUSTON, TX",1290587.2423,7019,6/29/1989,882240,,9/6/1991,T,1989,5872,4,,8456,32558.02103,RTC,BENJAMIN FRANKLIN SA,0,1,,3/9/1989,TX,,0,882240.0,,726203.64488,,SL,2,0,7429,2004722,,2191,South
1326,6/22/1990,6490,CHATANOOGA,,GA,I,3,7692,5245,8/1/1994,5245,,INTERFEDERAL SB,,3/9/1989,PA,SL,,30902,30902.0,6090,7974,7974,7974,12/31/1988,,8026,8025,8019,8019,885270,,30037,30-Nov-22,32804,na,1492,,32804.0,-4814,,-4814,8038,8030,,8029,5245,5245,7180,,5245,5245,5245,5245,SUMMERVILLE,1/31/2022,,5245,8066,5245,8055,5245,5245,8070.0927,,8125.74352,8126,35411.0,PANNN,7077,1.10191,FAILURE,"SUMMERVILLE, GA",30462.06154,5804,,5245,,6/22/1990,,1989,6090,0,,8359,22681.16566,RTC,FIRST FED. S & L ASSOC.,0,1,,3/9/1989,TN,,0,5245.0,,24859.43117,,SL,2,0,7077,35411,,2192,South
1327,9/20/1991,12539,LAPORTE,,TX,I,3,27989,32994,10/1/1999,32994,7/1/1999,"BNB SA, FSA",,3/9/1989,PA,SL,,33282,30925.0,9036,33788,33788,33789,12/31/1988,,33829,33828,33824,33824,769277,,19343,30-Nov-22,39353,na,7133,,39353.0,-27194,,-27194,33839,33832,,33831,32994,32994,27939,,32994,32994,32994,32994,LAPORTE,1/31/2022,,32994,33935,32994,33852,32994,32994,33553.0656,,33939.34948,33939,56792.0,PANNN,2105,-52620.38445,FAILURE,"LAPORTE, TX",40798.47319,237,12/14/1990,32994,,9/20/1991,T,1989,6124,0,,8504,906.90215,RTC,BAYSHORE SA,0,1,,3/9/1989,TX,,0,32994.0,,20346.38018,,SL,2,-4,2105,56792,,2193,South
1328,8/31/1990,31010,HOUSTON,,TX,I,3,101182,102508,5/1/1999,102508,7/1/1998,COASTAL BANC SA,,3/9/1989,PA,SL,,30937,30937.0,6139,108138,108138,108139,12/31/1988,,108320,108316,108297,108297,772679,,30757,30-Nov-22,99874,na,28402,,99874.0,-67372,,-67372,108363,108336,,108330,102508,102508,100402,,102508,102508,102508,102508,HOUSTON,1/31/2022,,102508,108465,102508,108422,102508,102508,110762.0806,,109227.1592,109227,148131.0,PANNN,7154,1e-05,FAILURE,"HOUSTON, TX",153713.6675,9781,,102508,,8/31/1990,T,1989,6139,0,,8479,44162.97427,RTC,SPRING BRANCH S & LA,0,1,,3/9/1989,TX,,0,102508.0,,93793.10957,,SL,2,0,7154,148131,,2194,South
1329,9/20/1991,185037,HOUSTON,,TX,I,3,704002,964160,12/1/2003,964160,11/1/2003,"UNITED SA OF TX, FSB",,3/9/1989,PA,SL,,33281,31128.0,9026,845215,845213,845218,12/31/1988,,845947,845930,845856,845856,626772,,32640,30-Nov-22,751461,na,125521,,751461.0,-304510,,-304510,680868,674600,,674656,964160,964160,702239,,964160,964160,964160,964160,PASADENA,1/31/2022,,964160,682664,964160,677923,964160,964160,733371.9967,,658686.5047,658687,923026.0,PANNN,2104,-11.324,FAILURE,"PASADENA, TX",703398.06245,1420,12/14/1990,964160,,9/20/1991,T,1989,6433,0,,8460,16439.21548,RTC,BANCPLUS SAVINGS ASSOCIATION,0,1,,3/9/1989,TX,,0,964160.0,,325201.24749,,SL,2,376,2104,923026,,2195,South
1330,8/10/1990,28396,HOUSTON,,TX,I,3,80457,83319,8/1/1994,83319,,WEST LOOP S&LA,,3/9/1989,PA,SL,,31163,31163.0,6475,84884,84883,84884,12/31/1988,,84998,84995,84984,84984,955173,,32437,30-Nov-22,76368,na,16958,,76368.0,-47901,,-47901,85025,85008,,85005,83319,83319,80157,,83319,83319,83319,83319,BAYTOWN,1/31/2022,,83319,85087,83319,85062,83319,83319,86339.7281,,85215.75381,85216,104539.0,PANNN,7128,-117.276,FAILURE,"BAYTOWN, TX",105892.49591,9689,,83319,,8/10/1990,,1989,6475,0,,8487,25827.32951,RTC,CITIZENS OF TEXAS S & L ASSOC.,0,1,,3/9/1989,TX,,0,83319.0,,61491.82939,,SL,2,0,7128,104539,,2196,South
1331,6/8/1990,79721,ALBUQUERQUE,,NM,I,3,51194,52896,4/1/1998,52896,2/1/1996,FIRST NB IN ALBUQUERQUE,,3/9/1989,PA,SL,,31290,31290.0,6675,61700,61699,61701,12/31/1988,,61985,61978,61950,61950,374073,,2233,30-Nov-22,188882,na,29461,,188882.0,-23010,,-23010,62053,62010,,62001,52896,52896,50969,,52896,52896,52896,52896,ALBUQUERQUE,1/31/2022,,52896,62207,52896,62146,52896,52896,67594.4285,,62527.85898,62528,151090.0,PANNN,7057,164,FAILURE,"ALBUQUERQUE, NM",130746.36894,25798,,52896,,6/8/1990,T,1989,6675,0,,8441,54827.72202,RTC,AMERICAN FS & LA,0,1,,3/9/1989,NM,,0,52896.0,,138212.2626,,SL,2,0,7057,151090,,2197,West
1332,12/15/1989,18188,HAMILTON,,AL,I,3,2790,1941,8/1/1994,1941,,SOUTHTRUST BANK OF MARION C,,3/9/1989,IDT,SB,,31342,31342.0,6772,3898,3898,3898,12/31/1988,,3947,3946,3941,3941,973476,,857,30-Nov-22,26035,na,1595,,26035.0,-1044,,-1044,3959,3952,,3950,1941,1941,2789,,1941,1941,1941,1941,HAMILTON,1/31/2022,,1941,3986,1941,3975,1941,1941,4131.3507,,4041.78473,4042,24016.0,DTNNN,6942,-0.22872,FAILURE,"HAMILTON, AL",21367.46922,-6,,1941,,12/15/1989,,1989,6772,0,,8307,2182.3185,RTC,FIRST SAVINGS BANK OF ALABAMA,0,1,,3/9/1989,AL,,0,1941.0,,21971.41863,,SB,2,0,6942,24016,,2198,South
1333,5/11/1990,45733,HOUSTON,,TX,I,3,174423,208016,8/1/1999,208016,5/1/1999,"UNITED SA OF THE SW, FSB",,3/9/1989,PA,SL,,31413,31413.0,6907,199670,199670,199671,12/31/1988,,199880,199876,199854,199854,473378,,32994,30-Nov-22,176543,na,54921,,176543.0,-101210,,-101210,199931,199899,,199893,208016,208016,173444,,208016,208016,208016,208016,HOUSTON,1/31/2022,,208016,198705,208016,199999,208016,208016,203334.4455,,201181.1575,201181,236618.0,PANNN,6995,-134732.34774,FAILURE,"HOUSTON, TX",195256.08682,0,,208016,,5/14/1990,T,1989,6907,0,,8470,5087.46717,RTC,AMERIWAY SAVINGS,0,1,,3/9/1989,TX,,0,208016.0,,105741.78483,,SL,2,0,6995,236618,,2199,South
1334,,,,2,MI,,,,,,0,,,,2/15/1936,P&A,NM,,,,,0,0,0,,,0,0,0,0,,,,,,na,,Feb,,,,,0,0,,0,,,,,,,,,ANN ARBOR,,2/15/1936,0,0,0,0,0,0,0,15,0,0,6758.0,,,,FAILURE,"ANN ARBOR, MI",,,,,2/15/2022,,,1936,,,P&A,,,BIF,THE ANN ARBOR SAVINGS BANK,,,,,,,,,,,,NM,1,,0,,,22,Midwest
1335,,,,6,KY,,,,,,0,,,,6/22/1938,P&A,NM,,,,,0,0,0,,,0,0,0,0,,,,,,na,,Jun,,,,,0,0,,0,,,,,,,,,NEWPORT,,6/22/1938,0,0,0,0,0,0,0,22,0,0,1361.0,,,,FAILURE,"NEWPORT, KY",,,,,6/22/2022,,,1938,,,P&A,,,BIF,CENTRAL SAVINGS BANK,,,,,,,,,,,,NM,1,,0,,,220,South
1336,9/28/1990,184358,NONE,,TX,I,3,216168,243504,9/1/2002,243504,6/1/2002,PAYOUT,,3/9/1989,PO,SL,,31417,31417.0,6917,227318,227318,227320,12/31/1988,,227663,227655,227620,227620,133177,,,30-Nov-22,281282,na,47978,,281282.0,-64618,,-64618,222614,222398,,227683,243504,243504,216168,,243504,243504,243504,243504,LAKE JACKSON,1/31/2022,,243504,222922,243504,222685,243504,243504,236637.8428,,221517.5203,221518,327461.0,PONNN,7198,-23.54469,FAILURE,"LAKE JACKSON, TX",218799.63027,19157,,243504,,9/28/1990,T,1989,6917,0,,8465,0,RTC,AMERICAN S & LA OF BRAZORIA,0,1,,3/9/1989,NA,,0,243504.0,,213181.97867,,SL,2,-3,7198,327461,,2200,South
1337,10/6/1989,50591,PFLUGERVILLE,,TX,I,3,12631,23066,9/1/1999,23066,4/1/1999,"HIBERNIA NB, TX",,3/9/1989,IDT,SL,,31556,31556.0,7174,30172,30171,30172,12/31/1988,,30335,30332,30315,30315,151470,,27569,30-Nov-22,91864,na,25399,,91864.0,-5375,,-5375,30374,30350,,30345,23066,23066,12174,,23066,23066,23066,23066,CLEVELAND,1/31/2022,,23066,30500,23066,30427,23066,23066,31348.0532,,30706.48834,30706,87258.0,DTSNN,6926,9.01136,FAILURE,"CLEVELAND, TX",79400.80333,310,,23066,,10/6/1989,T,1989,7174,0,,8482,2528.64496,RTC,TRINITY VALLEY SAVINGS,0,1,,3/9/1989,TX,,0,23066.0,,78208.7448,,SL,2,0,6926,87258,,2201,South
1338,9/22/1989,51119,DALLAS,,TX,I,3,77374,75415,10/1/1999,75415,5/1/1999,NCNB TEXAS NATIONAL BANK,,3/9/1989,IDT,SL,,31571,31571.0,7194,79517,79517,79518,12/31/1988,,79674,79671,79655,79655,494270,,27306,30-Nov-22,70918,na,23127,,70918.0,-47562,,-47562,79712,79688,,79684,75415,75415,76874,,75415,75415,75415,75415,HOUSTON,1/31/2022,,75415,80170,75415,79763,75415,75415,81558.3992,,80600.21718,80600,108657.0,DTNNN,6923,0.00856,FAILURE,"HOUSTON, TX",114900.83215,149,,75415,,9/22/1989,T,1989,7194,0,,8483,3287.18261,RTC,FIRST CAPITAL SAVINGS ASSOC./TEXAS,0,1,,3/9/1989,TX,,0,75415.0,,76283.61459,,SL,2,1102,6923,108657,,2202,South
